Jogador,Total_Jogos,Total_Jogos_Titular,Save_Percentage_Medio,Clean_Sheet_Percentage_Medio,Gols_Sofridos_90min_Medio,Clubes,Numero_Temporadas,Altura_cm
Shay Given,183,183,74.19,23.44,1.42,"Aston Villa, Manchester City, Newcastle Utd",7,185.00
Simon Mignolet,245,244,68.26,29.60,1.27,"Liverpool, Sunderland",8,193.00
Stephen Bywater,18,18,64.70,11.10,2.28,Derby County,1,188.00
Steve Harper,96,89,72.92,26.72,1.30,"Hull City, Newcastle Utd",6,188.00
Thibaut Courtois,126,126,70.80,36.62,1.00,Chelsea,4,199.00
Thomas Myhre,20,20,80.20,45.00,1.15,Charlton Ath,1,193.00
Thomas Sørensen,160,159,73.88,27.02,1.29,"Aston Villa, Stoke City",6,196.00
Tim Howard,354,354,73.32,32.49,1.10,Everton,10,191.00
Tim Krul,185,184,66.12,23.53,1.60,"Newcastle Utd, Norwich City",6,188.00
Tom Heaton,112,112,71.05,24.00,1.48,"Aston Villa, Burnley",4,187.00
Tomasz Kuszczak,28,28,79.70,32.10,1.34,West Brom,1,191.00
Tony Warner,18,16,70.10,12.50,1.94,Fulham,1,193.00
Vito Mannone,58,57,71.57,26.80,1.51,Sunderland,3,188.00
Wayne Hennessey,174,173,67.81,20.61,1.67,"Crystal Palace, Wolves",7,198.00
Willy Caballero,17,16,75.60,37.50,0.81,Manchester City,1,186.00
Wojciech Szczęsny,132,132,69.82,35.00,1.18,Arsenal,5,196.00
Ádám Bogdán,20,20,67.20,5.00,2.00,Bolton,1,194.00
Łukasz Fabiański,261,261,70.80,25.92,1.39,"Arsenal, Swansea City, West Ham",8,190.00
